繁體中文,简体中文,英文,註解
檢視來源碼,查看源代码,view source,
自動換行,自动换行,wrap,
加入裁切行,添加裁切行,add cut line,
排列,排列,alignment,
視窗最上層,窗口最上层,always on top,
保存,保存,archive,只用於屬性:attribute
壓縮檔案,压缩文件,archive,
遞增,升序,ascending,
自動隱藏,自动隐藏,auto-hide,
按鈕排列,按钮排列,button arrangement,
題要,题要,caption,
重疊顯示,层叠窗口,cascade,
串聯事件,串联事件,cascading event,
串聯功能表,串联菜单,cascading menu,
時鐘,时钟,clock,
收摺,收摺,collapse,collapse:收摺 expand:展開
自動分頁,自动分页,collate,
色彩方案,颜色方案,color scheme,
色彩,颜色,colors,
命令行,命令行,command Line,
快顯功能表,快显菜单,context Menus,右鍵功能表(ka)
複製磁碟,复制磁盘,copy disk,
目前的路徑,当前的路径,current Path,
自訂放大,自定义放大,custom magnification,
自訂,自定义,customize,
解碼,解码,decode,
解密,解密,decrypt,
遞減排序,递减排序,descending,
銷毀,销毁,destroy,
卸離,卸离,detached,
細節檢視,明细查看,details view,
細節,明细,details,
數位時鐘,数字时钟,digital clock,
尺度,尺度,dimensions,
停駐,停驻,docked,
DOS 指令行,DOS 命令行,dos command line,
下落式陰影,下落式阴影,drop-shadows,
易用更新,易用更新,easyupdate,
清空資源回收筒,清空回收站,empty recycle Bin,[清理][清空]不同
編碼,编码,encode,
加密,加密,encrypt,
抹除磁片,抹除软盘,erase diskette,
抹除磁碟,抹除磁盘,erase diskette,
展開資料夾,展开文件夹,expand folder,
展開,展开,expand,collapse:收摺 expand:展開
解壓縮,解压缩,extract,
快速載入區域,快速载入区域,fast-load area,
檔案清單,文件列表,file list,
檔案追蹤器,文件跟踪器,file tracker,
尋找,查找,find,
符合頁面,符合页面,fit to page,
浮動圖示工具列,浮动图标工具栏,flat-style buttons,有點奇怪的翻譯_但在功能上的確是浮動圖示
浮動圖示工具列,浮动图标工具栏,flat-style buttons,有點奇怪的翻譯_但在功能上的確是浮動圖示
浮動,浮动,floating,
浮動,浮动,floating,
資料夾追蹤器,文件夹跟踪器,folder tracker,
格式化磁碟,格式化磁盘,format disk,
下一步,下一步,forward,
剩餘圖形介面資源,剩余图形接口资源,free gdI resources,
剩餘記憶體,剩余内存,free memory,
剩餘空間,剩余空间,free space,
剩餘系統資源,剩余系统资源,free system resources,
剩餘使用者資源,剩余用户资源,free user resources,
前往,前往,go to,
群組重新命名,群组重命名,group rename,
16 進位傾印,16 进制倾印,hex dump,
隱藏,隐藏,hidden,檔案屬性attribute
熱鍵,热键,hotkey,
超大,超大,huge,
正在進行,正在进行,in progress,
完整性,完整性,integrity,
標籤磁碟,标签磁盘,label disk,
大圖示,大图标,large icons,
清單,列表,list,
製作開機磁碟,制作开机磁盘,make system Disk,
製造商,制造商,manufacturers,
對應網路磁碟機,映射网络驱动器,map network Drive,
中繼檔案,图元文件,metafile,
型號,型号,model,用於機器型號
模型,模型,model,
多重卷輯壓縮,多重卷标压缩,multi-volumn compression,
多重檢視,多重查看,multiview,
新增超然的工具列,新建超然的工具栏,new detached Toolbar,
列印數量,打印数量,number of copies,
原始路徑,原始路径,original path,
重疊,重叠,overlay,
被動模式,被动模式,passive Mode,
正在擱置,正在搁置,pending,
播放清單,播放列表,playlist,
事先定義,事先定义,predefined,
列印跨頁,打印跨页,print across,
列印管理員,打印管理员,print manager,
列印縮放,打印缩放,print scaling,
列印到檔案,打印到文件,print to file,
漸進,渐进,progressive,常用於色彩方面
快速執行,快速运行,quicklaunch,
快速檢視,快速查看,quickview,
唯讀,只读,read only,
唯讀,只读,read-only,
精鍊,精链,refine,
重新排序,重新排序,reorder,
重設,重设,reset,重置(舊譯)
電腦重新啟動,计算机重新启动,restart the computer,
重新同步化,重新同步化,resynchronize,
另存為,另存为,save as,另存新檔
搜尋,查找,search,
區段,区段,segment,
自我解壓縮,自我解压缩,self extracting,
序號,序列号,serial number,
期間,期间,sessions,
顯示格線,显示格线,show gridlines,
停機,停机,shut down,如果考慮 power shut down 也要翻譯成電源關機嗎？
小圖示,小图标,small icons,
開始功能表,“开始”菜单,start menus,
狀態列,状态栏,status bar,
粘附應用程式,粘附应用程序,sticky application,
子類型,子类型,sub type,
子檔案類型,子文件类型,subfile type,
子資料夾,子文件夹,subfolders,
子系統,子系统,subsystem,
同步化,同步化,synchronize,
系統匣,系统匣,system Tray,
系統效能,系统性能,system performance,
系統匣,系统匣,systemtray,
工作列,任务栏,taskbar,
執行緒,线程,threads,
臨界值超過,临界值超过,threshold exceeded,
臨界值,临界值,threshold,
縮圖,缩图,thumbnail,
水平並排,横向平铺窗口,tile horizontally,
垂直並排,纵向平铺窗口,tile vertically,
逾時,超时,time out,
中斷網路磁碟機,断开网络驱动器,unmap network Drive,
更新時間,更新时间,update Time,
網址,网址,url,
檢視器窗格,查看器窗格,viewer pane,
檢視器,查看器,viewer,
位置,位置,where,
捲動磁碟列,滚动磁盘栏,wrap drivebar,
捲動工具列,滚动工具栏,wrap toolbar,
唯寫,只写,write-only,
銳角,锐角,acute,
環境光源,环境光源,ambient light,
環境特性,环境特性,ambient property,
弧度,弧度,arc radius,
背景色彩,背景颜色,backcolor,
背景樣式,背景样式,backstyle,
雙立體,双立体,bicubic,
阻斷作業,阻断操作,blocking operation,
下方框線,下方框线,border below,
邊緣色彩,边缘颜色,border color,
邊緣寬度,边缘宽度,border width,
候選鍵,候选键,candidate key,
順時針角度,顺时针角度,clockwise angle,
色彩順序,颜色顺序,color order,
色彩轉譯,颜色转译,color translation,
輪廓過濾器,轮廓过滤器,contour filter,
十字游標,十字光标,cross-Lines cursor,
延遲游標,延迟光标,delay cursor,
三角方向,三角方向,delta direction,
細節,细节,detail,verbose:繁瑣 redundant:冗餘 detail:細節
顯示模式,显示模式,display mode,
遞色方法,递色方法,dither method,
效果分類,效果分类,effect category,
填入樣式,填入样式,fill style,
前景色彩,前景颜色,forecolor,
前景色彩,前景颜色,foreground color,
量計長度,量计长度,gauge length,
灰階分類,灰度分类,gradient category,
灰階選項,灰度选项,gradient options,
灰階樣式,灰度样式,gradient style,
顆粒,颗粒,grain,
灰階,灰度,gray scale,
在內寬度,在内宽度,inner width,
在內高亮度,在内高亮度,innerHilite,
在內陰影,在内阴影,innerShadow,
在內樣式,在内样式,innerStyle,
維持外觀,维持外观,keep Aspect,
最大錯誤量,最大错误量,maximumError,
測量單位,测量单位,measurement units,
節點,节点,nodes,
在外寬度,在外宽度,outer Width,
外部聯結,外部联结,outer join,
外部類型,外部类型,outer type,
在外高亮度,在外高亮度,outerHilite,
在外陰影,在外阴影,outerShadow,
在外樣式,在外样式,outerStyle,
次數,次数,passes,
多邊形模式,多边形模式,polygon Mode,
多邊形填滿模式,多边形填满模式,polygon-filling mode,
精確度,精确度,precision,
Q 因子,Q 因子,qfactor,
重新取樣,重新采样,resample,
保持背景,保持背景,retain background,
尺規,标尺,ruler,
序列形態,序列形态,series modality,
形狀分類,形状分类,shape category,
形狀樣式,形状样式,shape style,
顯示量計,显示量计,show gauge,
顯示長度,显示长度,show length,
研讀日期,研读日期,study date,
研讀實體,研读实体,study instance,
研讀參考醫生,研读参考医生,study ref. Physician,
樣式,样式,style,
子檔案類型,子文件类型,subfile type,
臨界值,临界值,threshold,
轉場選項,过渡选项,transition options,
單位縮寫,单位缩写,unit abbreviation,
使用光源,使用光源,use lights,
視訊壓縮,视频编码,video compression,
視訊顯示,视频显示,video display,
視訊格式,视频格式,video format,
視訊來源,视频来源,video source,
亞布卡薩文,亚布卡萨文,Abkhazian,
阿法文,阿法文,Afar,
南非荷蘭文,南非荷兰文,Afrikaans,
阿爾巴尼亞文,阿尔巴尼亚文,Albanian,
阿姆哈拉文,阿姆哈拉文,Amharic,
阿拉伯文 (阿爾及利亞),阿拉伯文 (阿尔及利亚),Arabic (Algeria),
阿拉伯文 (巴林),阿拉伯文 (巴林),Arabic (Bahrain),
阿拉伯文 (埃及),阿拉伯文 (埃及),Arabic (Egypt),
阿拉伯文 (伊拉克),阿拉伯文 (伊拉克),Arabic (Iraq),
阿拉伯文 (約旦),阿拉伯文 (约旦),Arabic (Jordan),
阿拉伯文 (科威特),阿拉伯文 (科威特),Arabic (Kuwait),
阿拉伯文 (黎巴嫩),阿拉伯文 (黎巴嫩),Arabic (Lebanon),
阿拉伯文 (利比亞),阿拉伯文 (利比亚),Arabic (Libya),
阿拉伯文 (摩洛哥),阿拉伯文 (摩洛哥),Arabic (Morocco),
阿拉伯文 (阿曼),阿拉伯文 (阿曼),Arabic (Oman),
阿拉伯文 (卡達),阿拉伯文 (卡塔尔),Arabic (Qatar),
阿拉伯文 (沙烏地阿拉伯),阿拉伯文 (沙特阿拉伯),Arabic (Saudi Arabia),
阿拉伯文 (敘利亞),阿拉伯文 (叙利亚),Arabic (Syria),
阿拉伯文 (突尼西亞),阿拉伯文 (突尼西亚),Arabic (Tunisia),
阿拉伯文 (阿拉伯聯合大公國),阿拉伯文 (阿拉伯联合酋长国),Arabic (United Arab Emirates),
阿拉伯文 (葉門),阿拉伯文 (也门),Arabic (Yemen),
亞美尼亞文,亚美尼亚文,Armenian,
阿薩姆文,阿萨姆文,Assamese,
澳大利亞英文,澳大利亚英文,Australian,
亞摩拉文,亚摩拉文,Aymara,
亞塞拜然文,亚塞拜然文,Azerbaijani,
阿澤里文 (斯拉夫),阿泽里文 (西里尔),Azeri (Cyrillic),
阿澤里文 (拉丁),阿泽里文 (拉丁),Azeri (Latin),
印尼文,印尼文,Bahasa,
波羅的海文,波罗的海文,Baltic,
巴什喀爾文,巴什喀尔文,Bashkir,
巴斯克,巴斯克,Basque,
巴斯克文,巴斯克文,Basque,
白俄羅斯文,白俄罗斯文,Belarusian,
孟加拉文,孟加拉文,Bengali,
不丹文,不丹文,Bhutani,
比哈文,比哈文,Bihari,
比斯拉馬文,比斯拉马文,Bislama,
布里敦文,布里敦文,Breton,
保加利亞文,保加利亚文,Bulgarian,
緬甸文,缅甸文,Burmese,
白俄羅斯文,白俄罗斯文,Byelorussian,
柬埔寨文,柬埔寨文,Cambodian,
卡達隆尼亞文,卡塔尔隆尼亚文,Catalan,
卻洛奇文,却洛奇文,Cherokee,
中文 (中國),中文 (中国),Chinese (China),
中文 (中華人民共和國),中文 (中华人民共和国),Chinese (PRC),
中文 (簡體),中文 (简体),Chinese (Simplified),
中文 (新加坡),中文 (新加坡),Chinese (Singapore),
中文 (台灣),中文 (台湾),Chinese (Taiwan),
中文 (繁體),中文 (繁体),Chinese (Traditional),
科西嘉文,科西嘉文,Corsican,
克羅埃西亞文,克罗地亚文,Croatian,
克羅埃西亞塞爾維亞文,克罗地亚塞尔维亚文,Croato-Serbian,
斯拉夫文,西里尔文,Cyrillic,
捷克文,捷克文,Czech,
丹麥文,丹麦文,Danish,
迪培希文,迪培希文,Dhivehi,
迪維西文,迪维西文,Divehi,
荷蘭文 (比利時),荷兰文 (比利时),Dutch (Belgium),
荷蘭文 (荷蘭),荷兰文 (荷兰),Dutch (Dutch),
荷蘭文 (標準),荷兰文 (标准),Dutch (Standard),
艾鬥文,艾斗文,Edo,
英文 (澳大利亞),英文 (澳大利亚),English (Australia),
英文 (貝里斯),英文 (贝里斯),English (Belize),
英文 (英國),英文 (英国),English (Britain),
英文 (加拿大),英文 (加拿大),English (Canada),
英文 (加勒比海),英文 (加勒比海),English (Carribean),
英文 (愛爾蘭),英文 (爱尔兰),English (Ireland),
英文 (牙買加),英文 (牙买加),English (Jamaica),
英文 (紐西蘭),英文 (新西兰),English (New Zealand),
英文 (菲律賓),英文 (菲律宾),English (Philippines),
英文 (南非),英文 (南非),English (South Africa),
英文 (千里達),英文 (特立尼达和多巴哥),English (Trinidad),
英文 (英國),英文 (英国),English (United Kingdom),
英文 (美國),英文 (美国),English (United States),
英文 (辛巴威),英文 (津巴布韦),English (Zimbabwe),
愛沙尼亞文,爱沙尼亚文,Estonian,
衣索比亞文,埃塞俄比亚文,Ethiopic,
馬其頓文 (FYRO),马其顿文 (FYRO),FYRO Macedonian,
法羅文,法罗文,Faeroese,
波斯文,波斯文,Farsi,
斐濟文,斐济文,Fiji,
菲律賓文,菲律宾文,Filipino,
芬蘭文,芬兰文,Finnish,
法文 (比利時),法文 (比利时),French (Belgium),
法文 (喀麥隆),法文 (喀麦隆),French (Cameroon),
法文 (加拿大),法文 (加拿大),French (Canada),
法文 (象牙海岸),法文 (象牙海岸),French (Cote d'Ivoire),
法文 (法國),法文 (法国),French (France),
法文 (盧森堡),法文 (卢森堡),French (Luxembourg),
法文 (馬利),法文 (马里),French (Mali),
法文 (摩納哥),法文 (摩纳哥),French (Monaco),
法文 (留尼旺島),法文 (留尼旺岛),French (Reunion),
法文 (塞內加爾),法文 (塞内加尔),French (Senegal),
法文 (標準),法文 (标准),French (Standard),
法文 (瑞士),法文 (瑞士),French (Switzerland),
法文 (西印度),法文 (西印度),French (West Indies),
法文 (薩伊),法文 (扎伊尔),French (Zaire),
夫里斯蘭文 (荷蘭),夫里斯兰文 (荷兰),Frisian (Netherlands),
福福德文,福福德文,Fulfulde,
蓋爾文 (愛爾蘭),盖尔文 (爱尔兰),Gaelic (Ireland),
蓋爾文 (蘇格蘭),盖尔文 (苏格兰),Gaelic (Scotland),
加里斯亞文,加里斯亚文,Galician,
喬治亞文,乔治亚文,Georgian,
德文 (奧地利),德文 (奥地利),German (Austria),
德文 (德國),德文 (德国),German (Germany),
德文 (列支敦斯登),德文 (列支敦士登),German (Liechtenstein),
德文 (盧森堡),德文 (卢森堡),German (Luxembourg),
德文 (標準),德文 (标准),German (Standard),
德文 (瑞士),德文 (瑞士),German (Switzerland),
希臘文,希腊文,Greek,
格陵蘭文,格陵兰文,Greenlandic,
瓜拉尼文,瓜拉尼文,Guarani,
古吉拉特文,古吉拉特文,Gujarati,
豪沙文,豪沙文,Hausa,
希伯來文,希伯来文,Hebrew,
印度文,印度文,Hindi,
匈牙利文,匈牙利文,Hungarian,
冰島文,冰岛文,Icelandic,
伊布文,伊布文,Igbo,
印尼文,印尼文,Indonesian,
依奴提圖特文,依奴提图特文,Inuktitut,
依奴皮維克文,依奴皮维克文,Inupiak,
愛爾蘭文,爱尔兰文,Irish,
義大利文 (義大利),义大利文 (义大利),Italian (Italy),
義大利文 (標準),义大利文 (标准),Italian (Standard),
義大利文 (瑞士),义大利文 (瑞士),Italian (Switzerland),
日圓,日圆,Japanese Yen (JPY),
日文,日文,Japanese,
爪哇文,爪哇文,Javanese,
漢文,漢文,Kanbun,
坎那達文,坎那达文,Kannada,
喀什米爾文,喀什米尔文,Kashmiri,
哈薩克文,哈萨克文,Kazakh,
高棉文,高棉文,Khmer,
金揚萬答文,金扬万答文,Kinyarwanda,
吉爾吉斯文,吉尔吉斯文,Kirghiz,
科隆地文,科隆地文,Kirundi,
貢根文,贡根文,Konkani,
韓文 (裘哈),韩文 (裘哈),Korean (Johab),
韓文,韩文,Korean,
庫德文,库德文,Kurdish,
吉爾吉斯文,吉尔吉斯文,Kyrgyz,
寮文,寮文,Lao,
拉丁文,拉丁文,Latin,
拉脫維亞文,拉脱维亚文,Latvian,
陵加拉文,陵加拉文,Lingala,
立陶宛文,立陶宛文,Lithuanian,
馬其頓文,马其顿文,Macedonian,
馬達加斯加文,马达加斯加文,Malagasy,
馬來文 (汶萊),马来文 (文莱达鲁萨兰),Malay (Brunei Darussalam),
馬來文,马来文,Malay,
馬來亞拉姆文,马来亚拉姆文,Malayalam,
馬爾他文,马尔他文,Maltese,
曼尼普爾文,曼尼普尔文,Manipuri,
毛利文,毛利文,Maori,
馬拉提文,马拉提文,Marathi,
摩爾多瓦文,摩尔多瓦文,Moldavian,
蒙古文,蒙古文,Mongolian,
緬甸文,缅甸文,Myanmar,
諾魯文,瑙鲁文,Nauru,
尼泊爾文,尼泊尔文,Nepali,
挪威文 (巴克摩),挪威文 (巴克摩),Norwegian (Bokmal),
挪威文 (耐諾斯克),挪威文 (耐诺斯克),Norwegian (Nynorsk),
奧西坦文,奥西坦文,Occitan,
歐甘文,欧甘文,Ogham,
歐利亞文,欧利亚文,Oriya,
奧羅蒙文,奥罗蒙文,Oromo,
普什圖文,普什图文,Pashto,
波斯文,波斯文,Persian,
波蘭文,波兰文,Polish,
巴西葡萄牙文,巴西葡萄牙文,PortBrazil,
依伯利亞葡萄牙文,依伯利亚葡萄牙文,PortIberian,
葡萄牙文 (巴西),葡萄牙文 (巴西),Portuguese (Brazilian),
葡萄牙文 (依伯利亞),葡萄牙文 (依伯利亚),Portuguese (Iberian),
葡萄牙文 (葡萄牙),葡萄牙文 (葡萄牙),Portuguese (Portugal),
葡萄牙文 (標準),葡萄牙文 (标准),Portuguese (Standard),
里托羅曼斯文,里托罗曼斯文,Rhaeto-Romance,
羅馬尼亞文 (摩爾多瓦),罗马尼亚文 (摩尔多瓦),Romanian (Moldavia),
羅馬尼亞文 (摩爾多瓦),罗马尼亚文 (摩尔多瓦),Romanian (Moldova),
羅馬尼亞文 (標準),罗马尼亚文 (标准),Romanian,
俄文 (摩爾多瓦),俄文 (摩尔多瓦),Russian (Moldavia),
俄文 (摩爾多瓦),俄文 (摩尔多瓦),Russian (Moldova),
俄文 (標準),俄文 (标准),Russian,
薩摩斯文 (拉普),萨摩斯文 (拉普),Sami (Lapland),
桑格魯文,桑格鲁文,Sangro,
梵文,梵文,Sanskrit,
塞爾維亞文 (斯拉夫),塞尔维亚文 (西里尔),Serbian (Cyrillic),
塞爾維亞文 (拉丁),塞尔维亚文 (拉丁),Serbian (Latin),
塞爾維亞克羅埃西亞文,塞尔维亚克罗埃西亚文,Serbo-Croatian,
錫蘭文,锡兰文,Sinhala,
西斯瓦提文,西斯瓦提文,Siswati,
斯洛伐克文,斯洛伐克文,Slovak,
斯洛維尼亞文,斯洛维尼亚文,Slovenian,
索馬利亞文,索马里文,Somali,
索馬利亞,索马里,Somalia,
文德文,文德文,Sorbian,
西班牙文 (阿根廷),西班牙文 (阿根廷),Spanish (Argentina),
西班牙文 (玻利維亞),西班牙文 (玻利维亚),Spanish (Bolivia),
西班牙文 (卡斯提爾),西班牙文 (卡斯提尔),Spanish (Castilian),
西班牙文 (智利),西班牙文 (智利),Spanish (Chile),
西班牙文 (哥倫比亞),西班牙文 (哥伦比亚),Spanish (Colombia),
西班牙文 (哥斯大黎加),西班牙文 (哥斯达黎加),Spanish (Costa Rica),
西班牙文 (多明尼加),西班牙文 (多米尼加),Spanish (Dominican Republic),
西班牙文 (厄瓜多),西班牙文 (厄瓜多尔),Spanish (Ecuador),
西班牙文 (薩爾瓦多),西班牙文 (萨尔瓦多),Spanish (El Salvador),
西班牙文 (瓜地馬拉),西班牙文 (危地马拉),Spanish (Guatemala),
西班牙文 (宏都拉斯),西班牙文 (洪都拉斯),Spanish (Honduras),
西班牙文 (國際排序),西班牙文 (国际排序),Spanish (International Sort),
西班牙文 (墨西哥),西班牙文 (墨西哥),Spanish (Mexican),
西班牙文 (現代排序),西班牙文 (现代排序),Spanish (Modern Sort),
西班牙文 (尼加拉瓜),西班牙文 (尼加拉瓜),Spanish (Nicaragua),
西班牙文 (巴拿馬),西班牙文 (巴拿马),Spanish (Panama),
西班牙文 (巴拉圭),西班牙文 (巴拉圭),Spanish (Paraguay),
西班牙文 (秘魯),西班牙文 (秘鲁),Spanish (Peru),
西班牙文 (波多黎各),西班牙文 (波多黎各),Spanish (Puerto Rico),
西班牙文 (西班牙),西班牙文 (西班牙),Spanish (Spain),
西班牙文 (傳統排序),西班牙文 (传统排序),Spanish (Traditional Sort),
西班牙文 (烏拉圭),西班牙文 (乌拉圭),Spanish (Uruguay),
西班牙文 (委內瑞拉),西班牙文 (委内瑞拉),Spanish (Venezuela),
巽丹文,巽丹文,Sundanese,
蘇土文,苏土文,Sutu,
史瓦西里文,史瓦西里文,Swahili,
瑞典文 (芬蘭),瑞典文 (芬兰),Swedish (Finland),
瑞典文,瑞典文,Swedish,
敘利亞文,叙利亚文,Syriac,
塔吉克文,塔吉克文,Tajik,
塔馬塞特文 (阿拉伯),塔马塞特文 (阿拉伯),Tamazight (Arabic),
塔馬塞特文 (拉丁),塔马塞特文 (拉丁),Tamazight (Latin),
塔馬塞特文,塔马塞特文,Tamazight,
坦米爾文,坦米尔文,Tamil,
韃靼文,鞑靼文,Tatar,
特拉古文,特拉古文,Telugu,
塔安那文,塔安那文,Thaana,
泰文,泰文,Thai,
頌加文,颂加文,Tsonga,
班圖文,班图文,Tswana,
烏都文 (巴基斯坦),乌都文 (巴基斯坦),Urdu (Pakistan),
烏都文,乌都文,Urdu,
烏茲別克文 (斯拉夫),乌兹别克文 (西里尔),Uzbek (Cyrillic),
烏茲別克文 (拉丁),乌兹别克文 (拉丁),Uzbek (Latin),
沃洛夫文,沃洛夫文,Wolof,
廓薩文,廓萨文,Xhosa,
意第緒文,意第绪文,Yiddish,
優魯巴文,优鲁巴文,Yoruba,
祖魯文,祖鲁文,Zulu,
35 毫米影片,35 毫米影片,35 mm film,來源素材類型
3D 圖形,3D 图形,3D graphics,來源素材類型
70 毫米影片,70 毫米影片,70 mm film,來源素材類型
8 毫米影片,8 毫米影片,8 mm film,來源素材類型
8 毫米帶子,8 毫米带子,8 mm tape,來源素材類型
ASF 檔案,ASF 文件,ASF file,來源素材類型
AVI 檔案,AVI 文件,AVI file,來源素材類型
AVI 索引塊,AVI 索引块,AVI index chunk,
BetaCam SP 帶子,BetaCam SP 带子,BetaCam SP tape,來源素材類型
BetaCam 帶子,BetaCam 带子,BetaCam tape,來源素材類型
Betamax 帶子,Betamax 带子,Betamax tape,來源素材類型
DV 帶子,DV 带子,DV tape,來源素材類型
DVCPro 帶子,DVCPro 带子,DVCPro tape,來源素材類型
DVCam 帶子,DVCam 带子,DVCam tape,來源素材類型
DVD,DVD,DVD,來源素材類型
Digital 8 帶子,Digital 8 带子,Digital 8 tape,來源素材類型
Flash 檔案,Flash 文件,Flash file,來源素材類型
四字元編碼,四字符编码,Four Character Code,
HDTV 現場,HDTV 现场,HDTV air,來源素材類型
Hi-8 帶子,Hi-8 带子,Hi-8 tape,來源素材類型
MPEG 音訊層,MPEG 音频层,MPEG audio layers,
MPEG2 檔案,MPEG2 文件,MPEG2 file,來源素材類型
Mini DV 帶子,Mini DV 带子,Mini DV tape,來源素材類型
電影標識標籤,电影标识标签,Movie IDentifier tags,
RIFF 文字的資訊細節,RIFF 文字的信息明细,RIFF textual informative details,
RealMedia 檔案,RealMedia 文件,RealMedia file,來源素材類型
S-VHS 帶子,S-VHS 带子,S-VHS tape,來源素材類型
SMPTE 時間碼,SMPTE 时间码,SMPTE time code,
Super 35 毫米影片,Super 35 毫米影片,Super 35 mm film,來源素材類型
Super Video CD,Super Video CD,Super Video CD,來源素材類型
TV 現場,TV 现场,TV air,來源素材類型
VHS 帶子,VHS 带子,VHS tape,來源素材類型
VHS-C 帶子,VHS-C 带子,VHS-C tape,來源素材類型
Video CD,Video CD,Video CD,來源素材類型
WMV 檔案,WMV 文件,WMV file,來源素材類型
動作片,动作片,action,素材內容類型
動作/冒險片,动作/冒险片,action/adventure,素材內容類型
額外的標頭資料,附加的标头数据,additional header data,
成人片,成人片,adult,素材內容類型
冒險片,冒险片,adventure,素材內容類型
類比視訊,模拟视频,analog video,
檔案位置,文件位置,archival location,
音訊格式,音频格式,audio format,
音訊串流格式,音频流式格式,audio stream format,
音訊串,音频串,audio stream,
音訊/視訊資料,音频/视频数据,audio/video data,
音訊/視訊交錯檔案,音频/视频交错文件,audio/video interleaved file,
作者的播放,作者的播放,author's telecast,
平均資料,平均数据,average data rate,
阻斷對齊資料,阻断对齐数据,block alignment of the data,串流標頭
區塊大小,列块大小,block size,
主體,主体,body,
動畫序列,动画序列,cartoon serial,素材內容類型
動畫,动画,cartoon,素材內容類型
災難片,灾难片,catastrophe,素材內容類型
兒童片,儿童片,child's,素材內容類型
塊類型,块类型,chunk type,
塊,块,chunk,
編碼解碼器延遲,编码解码器延迟,codec delay,
編碼解碼器簽名,编码解码器签名,codec signatures,
喜劇片,喜剧片,comedy,素材內容類型
委任,委任,commission,
委任,委任,commissioned,
壓縮演算法,压缩算法,compression algorithm,
壓縮方式,压缩方式,compression,
電腦遊戲,计算机游戏,computer game,素材內容類型
音樂會,音乐会,concert,素材內容類型
固定幀大小,固定帧大小,constant frame size,
版權,版权,copyright,
版權資料,版权数据,copyrighted data,
建立日期,创建时间,creation date,
工作人員,工作人员,credits,
剪裁,剪裁,cropped,
定義塊,定义块,definition chunk,
數位化日期,数字化日期,digit. date,
數位視訊,数字视频,digital video,
數位化時間,数字化时间,digitization time,
數位化,数字化,digitization,
維度,维度,dimensions,
導演,导演,director,
記錄片,记录片,documentary,素材內容類型
戲劇片,戏剧片,drama,素材內容類型
雙頻道 (雙語),双频道 (双语),dual-channel (bilingual),
東方片,东方片,eastern,素材內容類型
強調,强调,emphasis,
編碼,编码,encoded,
工程師,工程师,engineer,
娛樂片,娱乐片,entertaining,素材內容類型
色情片,色情片,erotic,素材內容類型
極端運動片,极端运动片,extremal sport,素材內容類型
幻想片,幻想片,fantasy,素材內容類型
流行,流行,fashion,
影片,影片,film,
影片片段,影片片段,filmstrip,
旗標,旗标,flags,
註腳,注脚,footer,
限私用,限私用,for private use only,
強制幀大小,强制帧大小,force frame size,
強制每秒幀數,强制每秒帧数,force frames per second,
格式定義塊,格式定义块,format definition chunk,
格式,格式,format,
四字元碼 (FourCC),四字符码 (FourCC),four Charactor Code,
四字元碼,四字符码,fourCC,
串流幀大小,流式帧大小,frame size of stream,
取樣頻率,采样频率,frequency of the sample rate,
幀,帧,frm,
幀/秒,帧/秒,frm/s,
從,从,from,
遊戲預告,游戏预告,game trailer,素材內容類型
一般 MPEG 旗標,常规 MPEG 旗标,general MPEG flags,
類型,类型,genre,
標頭,标头,header,
歷史片,历史片,historical,素材內容類型
家庭視訊,家庭视频,home video,素材內容類型
水平解析度,水平分辨率,horizontal resolution,
恐怖片,恐怖片,horror,素材內容類型
恐怖/神祕片,恐怖/神秘片,horror/mystic,素材內容類型
幽默片,幽默片,humor,素材內容類型
影像大小,影像大小,image size,
印地安,印地安,indian,素材內容類型
試用品廣告,试用品广告,infomercial,素材內容類型
互動式,互动式,interactive,素材內容類型
介面,介面,interface,
交錯,交错,interleaved,
聯合立體,联合立体,joint-stereo,
關鍵幀,关键帧,key frames,
關鍵字,关键字,keywords,
語言,语言,language,
長度,长度,length,
亮度,亮度,lightness,
位置,位置,location,
巨像素,巨象素,macropixel,
主要 AVI 標頭,主要 AVI 标头,main AVI header,
狂熱者,狂热者,maniacs,
每秒位元組數,每秒字节数,maximum bytes per second,
媒體,媒体,medium,
音樂劇,音乐剧,melodrama,素材內容類型
每幀毫秒數,每帧毫秒数,microsecond per frame,
軍事戰爭片,军事战争片,military & war,素材內容類型
單音,单声道,mono,
電影預告,电影预告,movie trailer,素材內容類型
電影,电影,movie,
音樂段落,音乐段落,music clip,素材內容類型
音樂視訊片,音乐视频片,music video,素材內容類型
音樂片,音乐片,musical,素材內容類型
神祕片,神秘片,mystery,素材內容類型
自然片,自然片,nature,素材內容類型
新聞,新闻,news,素材內容類型
輔助位元數,辅助位数,number of auxiliary bits,
每像素的位元數,每象素的位数,number of bits per pixel,
每樣本位元,每样本位,number of bits per sample,
每區塊幀數,每行块帧数,number of frames per block,
幀數,帧数,number of frames,
平面數,平面数,number of planes,
串流數,流式数,number of streams,
初始幀數,初始帧数,numer of initial frames,
填補顆粒性,填补颗粒性,padding granularity,
關閉填補,关闭填补,padding off,
開啟填補,打开填补,padding on,
填補,填补,padding,
色盤設定,色盘设置,palette setting,
部分,部分,part,
政治諷刺片,政治讽刺片,political satire,素材內容類型
主流科學,主流科学,popular science,素材內容類型
出現時間標記,出现时间标记,presentation time stamp,
產品,产品,product,
生產,生产,production,
